"Product sold","Nb of reviews","Total Votes","Helpful votes","Nb of 5 star reviews","% of 5 star review","5 star reviews paid","5 star reviews unpaid","5 star reviews paid on verified purchase"
"Casio Men's SGW300H-1AVCF Twin Sensor Multi-Function Digital Sport Watch",4,160,151,3,0,0,3,0
"Casio Men's WVA430J-1 Waveceptor Solar Atomic Ana-Digi Sport Watch",5,264,244,3,0,0,3,0
"Casio Men's WVA470DJ-1ACF ""Waveceptor"" Solar Atomic Ana-Digi Sport Watch",7,519,485,3,0,0,3,0
"Casio Men's WVA-M640D-1ACR Wave Ceptor Analog-Digital Stainless Steel Bracelet Watch",3,158,149,3,100,0,3,0
"Casio - MQ247B2 (Size: men)",3,205,197,3,100,0,3,0
"Casio Women's BG169G-4 Baby G Pink Champagne Watch",3,190,178,3,100,0,3,0
"Casio Women's BG169R-7A ""Baby-G"" White Resin Sport Watch",6,173,159,3,0,0,3,0
"Casio Women's LDF50-1CF Pop Tone Black Digital Watch",3,94,92,3,100,0,3,0
"Casio Women's LQ139A-1B3 Black Classic Resin Watch",3,116,105,3,100,0,3,0
"Charles Hubert 3850 Mechanical Picture Frame Pocket Watch",3,70,66,3,100,0,3,0
"Citizen Eco-Drive Men's BM8475-26E Stainless Steel Watch with Leather Strap",5,595,552,3,0,0,3,0
"Citizen Men's BL5250-02L Titanium Eco-Drive Watch with Leather Band",9,1055,961,3,0,0,3,0
"Citizen Men's BL5400-52A Eco-Drive Stainless Steel Sport Watch with Link Bracelet",4,132,124,3,0,0,3,0
"Citizen Men's BL5470-57L Stainless Steel Eco-Drive Watch",3,77,72,3,100,0,3,0
"Citizen Men's Black Leather Strap Watch",3,86,83,3,100,0,3,0
"Citizen Men's BM8180-54A Eco-Drive Railroad Stainless Steel Watch",3,91,86,3,100,0,3,0
"Citizen Men's (BM8430-59E) Eco-Drive Stainless Steel Watch with Link Bracelet, Silver",3,106,101,3,100,0,3,0
"Citizen Men's CB0010-53L A-T Eco-Drive World Perpetual Watch",3,95,95,3,100,0,3,0
